position COMBINED_rate(cM/Mb) Genetic_Map(cM)
1725305 0.039824645 1.6842933403215
2754406 4.3039062657 3.57090166490608
2794537 1.8760066552 3.63403733790384
4015382 4.1723708091 7.8320124789558
4115837 0.9953216043 8.12684458381409
4206100 0.9560185038 8.37910649922476
4266244 0.731955388 8.42098472311892
4376816 0.5566254369 8.93015169045579
4587177 3.338480512 9.41656268900934
4838241 0.3708276602 10.1361979290003
4858318 0.2661080687 10.1869135130068
4888370 0.924365909 10.2082942650861
4898381 13.307777664 10.2541147147229
5279346 0.6021473561 11.314896144176
5339443 0.7161212614 11.5370219130612
5670530 0.1830176871 12.78685033907
5800904 0.8988736394 13.2489350854015
6202245 2.0295868051 14.5176329680981
6724105 0.0476155678 15.4112315030856
6924587 0.0701986427 15.4816965447174
6991925 0.2297900627 15.5021917998356
6995218 0.0903811904 15.5024894250956
6995313 0.0649486156 15.5024955952141
7105079 0.8174890553 15.5620674728351
7406114 0.1854311825 15.989673149155
7486317 3.0165078391 16.0540885522527
7526486 0.7630328572 16.3409300137324
7616740 55.9795995915 16.7799340785496
7686982 0.027359051 16.9131908270043
7877488 0.0097530323 17.2237478979124
8098462 0.2701934664 17.3773811709483
8178708 0.3579490194 17.3891689409776
8278929 0.4317039115 17.5783068490998
8670206 0.0354672847 17.9171034520032
8770538 0.0816496907 17.9256090359304
8830698 0.0636750042 17.939327652715
8991141 1.4937037153 18.1242311103208
9382357 1.6523792052 19.1841434348975
10747262 1.1136199668 21.0379094381472
10807369 6.256428614 21.3909804119772
11058030 4.9970524685 22.5169844011697
11318983 0.3068911281 22.5694376795698
11801087 0.6126342229 23.749870803047
12333003 0.0953111174 25.4484012913444
12684504 1.8106521858 25.8497321465313
12734555 0.2646666048 26.0456980499132
12925067 1.5158036702 26.3591652433217
14381535 0.0543494906 28.5623462868678
14572203 2.2615734063 28.9343727950599
14692598 5.3676941776 29.2643502265084
15144305 1.4326542012 30.3881331642779
15234557 1.6854137285 30.832921096317
15264699 4.0994066179 30.913609059527
15344936 0.7521779417 31.1758716759544
15354997 0.4368772495 31.2018928048249
16528843 0.4084206624 32.9918112923382
16739696 0.9542106085 33.0464056821081
17376790 1.174983861 34.0398267475492
17647475 0.1668945054 34.9021474149681
18128967 0.9771527844 35.8015918614658
18169074 10.269782826 35.8713867568506
18249595 0.6867470703 36.0231567006204
18289666 0.6966631327 36.1148025170224
18349821 0.1855960552 36.2565481063598
18450167 0.6164008388 36.4300960355891
18490269 34.2815474166 36.7035735507351
18750982 0.0608687933 37.6906222875901
18781186 2.4066931835 37.7750520665572
18941887 0.3706451149 38.2935742238688
18951905 0.4530436708 38.2980703398261
19373357 1.5063191868 39.8652788747666
19614064 0.1557614043 39.9520555813166
19704328 0.0844000351 40.0114702091929
20306279 10.1193012018 41.3580712313756
20396558 0.5106410738 41.416723030415
20406586 0.8923069045 41.4224638710115
20857630 0.4261360887 42.7478637126961
21390582 0.0162281255 43.2227736205428
21841815 1.6112718996 43.7230816638152
22373624 2.7620067643 44.2912788404092
22454001 1.3720468025 44.302742869928
22524136 0.5285689256 44.4183784358996
22584256 0.6892441738 44.4620193002996
22734931 1.5600800222 44.8698532476258
22855441 0.0840613314 45.0941313753725
23016103 0.3660222786 45.3918748664182
