position COMBINED_rate(cM/Mb) Genetic_Map(cM)
403968 0.3242559589 0.728978703416486
604818 1.0017820787 1.51439957874419
624824 12.5013367154 1.91347627570307
926298 0.7744014787 3.09346401531042
966481 1.0646710827 3.25636034075837
1435156 9.3315841282 4.14851251689197
1435236 10.9923263431 4.14939190299942
1435271 14.2935658253 4.14989217780331
1435710 14.2935658253 4.15616705320061
1435746 14.2935658253 4.15668162157032
1435888 14.2935658253 4.15871130791752
1436122 13.9980156553 4.16198684358086
1436136 13.9980156553 4.16218281580003
1437602 5.3059284457 4.16996130690143
1437850 3.6574585369 4.17086835661858
1438095 3.5696655345 4.17174292467453
1438393 2.0086757377 4.17234151004437
1438555 1.2731426986 4.17254775916154
1438661 1.1635977686 4.17267110052501
1438824 1.163526993 4.17286075542487
1439614 1.1645736592 4.17378076861564
1440732 1.1898399069 4.17511100963155
1441444 1.2200411151 4.1759796789055
1441750 1.6519654095 4.17647702501591
1441929 2.0296773504 4.17684033726163
1441978 2.1565903086 4.17694601018675
1442024 2.1950197499 4.17704698109525
1442319 1.6751871341 4.17754116129981
1442349 1.1268842386 4.17757496782697
1442430 0.6176050357 4.17762499383486
1442590 0.401696095 4.17768926521006
1442817 0.3133268976 4.17776039041581
1443152 0.2871140079 4.17785657360846
1443305 0.2698349797 4.17789785836035
1443317 0.2519557164 4.17790088182895
1443541 0.2310823728 4.17795264428046
1443544 0.2295993488 4.1779533330785
1443691 0.2121851388 4.17798452429391
1444936 0.2123565131 4.17824890815272
1488617 0.5059505443 4.31603213750605
1498668 0.4022532063 4.32607135774424
1599124 0.0013548515 4.45919127875164
1749665 0.0735972888 4.6174005012417
1990871 0.1638906499 5.20672248714683
2161731 3.0035172186 5.68703276122071
2413383 7.8118927172 6.55431384334986
2483657 2.600211845 6.81260586951607
3015919 8.9504260495 8.43827192649915
3397434 1.0330152536 9.89671885890503
3597864 5.5875826115 10.9511689229814
3789544 1.5888365065 11.6986347585046
4181103 1.6246702896 13.0624915347629
4311534 0.5372286894 13.4674230640057
4582423 0.6392078086 14.7053325075403
5416221 0.9869930561 17.096451281906
5556697 2.2153617326 17.3505700820021
5596822 1.1408689566 17.5746629074944
5676999 0.1533733 17.7708607124022
5707643 1.4508239118 17.7967647790441
5757786 0.3061453945 17.8580828833864
6098897 0.4165933298 18.9028910068776
6480056 11.2719365386 19.8824003158016
6690637 0.0328213313 21.0032941533898
6770874 0.0453319892 21.2164560726464
6921268 2.3690800164 21.4351431119906
7383092 13.8091757854 23.5891445116989
7433335 3.5324134062 23.7884470952578
7604104 0.2789116031 24.0557541892637
7724592 0.0333895762 24.316123189849
7774724 0.4202732755 24.3996602447413
7784741 0.216142699 24.4029004049427
7955787 0.2187362917 24.7057034693172
7965872 0.225440326 24.7080778126144
8036065 0.0739854623 24.7185075946274
8216480 0.3200975237 25.0174859432909
8387219 4.2951056512 25.5216012201976
8517425 1.1835804117 26.2217943743179
8728435 2.0724142958 27.0655641234106
9611497 2.5758702269 28.6059523146953
9822161 0.4305089891 29.7029917294564
9922512 0.3497327978 30.0003426363598
10213353 0.7697936262 31.4356295378497
10283551 1.6799458269 31.6031344564855
10323637 1.8029593961 31.7743080350209
10353722 3.4922095749 31.9445832399789
10383842 1.2464368597 32.0658054526859
10775000 0.7670401627 33.2804128554441
10805071 0.2102568048 33.2894981180989
10925419 0.8837265412 33.5273305806037
10945471 0.2246297395 33.5581860592841
11035655 1.1377011208 33.7055298711417
11236202 66.4387476657 34.9759351293704
11306512 2.0464878518 35.0769292679377
11557161 0.5777864629 36.2597002770096
11717548 0.3485537197 36.7262418735708
11757627 0.8979967345 36.7799133389082
11847834 0.4085271125 36.8229372203486
12270142 4.6869013654 37.9352645032569
12551183 0.0991067829 38.1058765400197
12842480 0.1626541819 38.2964727773031
13073385 0.0024212281 38.4745185417482
13665589 0.0412300151 39.8691234251768
13966347 0.0941643864 40.0978361134945
13996418 0.0869311284 40.1129336667011
14026498 0.0422332904 40.1691755093517
19656225 0.1705228608 41.7150549945889
19676263 2.7613072542 41.7281421147916
21573025 1.6325221402 43.3737051378328
22125187 2.8375173468 44.4715758248555
22536467 6.7513158702 44.9707410643488
22546515 0.1606594054 45.0454942551554
22596636 0.178018908 45.0792402677171
22817345 0.446595708 45.3785467356771
23078080 0.257830885 45.9896168502728
23258812 0.2049985014 46.1187349657553
23328931 0.3535128139 46.1978477661262
23439250 0.3163137512 46.3647409312731
23920698 0.1834218409 46.5566495355405
24051229 2.5613314032 46.7279896192229
24311898 0.4398995428 47.3027037607163
24412227 0.7413211794 47.5306037722345
24422230 14.004346324 47.5613810862395
24452435 39.2903389484 47.6483149461206
24552767 0.8565347542 47.7407016778737
24572889 0.0019672796 47.7407451519648
24592953 0.0269011215 47.743056198492
25175723 0.1338093637 48.4622136557965
25205975 4.944859193 48.5013809975747
25236193 0.3589416588 48.5176201564379
25547313 0.3946930185 49.0338336007346
25647600 0.1361235811 49.0776093271507
26481458 0.0120166731 49.4201050575367
26541573 0.3125704619 49.4350372678354
26671962 13.5527400822 49.5202311605702
26742121 0.3121997967 49.5820892889462
26842418 0.4715062181 49.6383092432285
26962935 1.1783702067 49.7809985401247
27193687 0.164185805 49.9908074898753
27223797 1.1361586053 50.0032043459668
27283905 0.3145397458 50.1024936912222
27324009 0.4172812857 50.1188886344069
28167130 0.049971718 50.8707931279717
28327817 0.1128999016 50.9407430144694
28558623 0.8023984555 51.1279076530867
28568670 1.985972881 51.2832925222558
28899851 0.2349812181 51.7662891183248
28919884 3.3790566121 51.7736814754038
29121488 0.2771810869 52.0157001000581
29161511 0.4015852762 52.1076752957891
29342538 0.2702290087 52.3339482031742
29774363 0.4655285652 52.8383938765348
29784370 0.0912604201 52.8611316289254
30286239 0.1108939306 53.6355803178992
30366464 0.0372949294 53.725807320943
30486809 0.7802352381 53.78377482031
30687582 0.0056886775 53.8188565484404
30838002 0.0003671939 53.8404000950759
31359711 0.0277989423 54.1367197895536
32092803 0.0927191284 54.4702137167759
32344008 0.6167072772 54.5584842827048
32364020 0.030117326 54.562882813566
32454404 0.1733607868 54.5822410958095
32484419 0.1434539795 54.6655669100589
32735307 3.6409434686 54.8672935832713
32986504 1.0287944051 55.0398443021239
33076833 0.2038112401 55.244976259964
33086841 1.4609896737 55.2599568710588
33628714 0.0039847615 55.5084701975601
33779078 1.0426055709 55.6221786959779
33879397 0.4578277995 55.9679870922608
33919605 0.0877492382 56.0211433732445
34009962 8.2527095359 56.1140737233241
34170906 0.6263877895 56.2968642174214
34231109 7.6706358257 56.4006379757747
34261190 0.1507724734 56.4272800672708
34592625 9.07884e-05 56.4726223441055
34803165 0.1307504542 56.4903209544775
35445641 2.3978528553 57.2852170569479
35626522 0.1077844925 57.4447216227126
35867188 0.0021225274 57.6214036774262
36188510 0.3346111204 58.0851179096401
36981479 1.0118939958 58.4372310568649
37132107 0.9452800279 58.4816045320678
37172254 0.3300240297 58.4864428089664
37212488 0.0021119146 58.4887773967394
37353312 0.0008341213 58.5176354360262
37443565 0.3295937382 58.6071433692872
37453597 0.7318441845 58.610642135497
37784774 16.4585011879 59.0129302604454
