position COMBINED_rate(cM/Mb) Genetic_Map(cM)
332152 5.6353657156 0.326649513882902
472591 0.8641579206 0.737730324489156
542865 1.1912709743 0.891931778713942
562894 0.5124502849 0.909169842813523
773376 0.6601348929 1.20606315882817
863582 3.3780341196 1.46117002212207
1605527 0.5143689266 4.21724839869713
1685649 1.1974348101 4.29551908468513
1715820 5.4372873847 4.3476064279722
1725841 0.4679258804 4.35604841926515
1906281 0.5000282079 4.76259214592623
2488023 0.4628434486 7.77263627877927
2498025 1.5115652085 7.80572349130706
2528165 0.5464747633 7.84050210428956
2718717 5.4972222082 8.32933986324478
3139855 0.2237167438 9.13808835464137
3661448 0.5151933904 10.073347096782
4082481 1.4782841891 11.6255472978629
4092481 1.3413079966 11.672977828229
4142546 0.6976088345 11.7351408622354
4152555 0.5913285859 11.7672997014031
4443086 0.5577698929 12.6380993910423
4465804 0.2717644202 12.6674170640559
4473829 0.2717644202 12.669597973528
4474620 0.2715845648 12.6698127969188
4863952 1.8328932636 14.3276736428881
5335470 0.4063921125 14.7691001696022
5445702 0.3366366919 14.8996476966769
5616095 0.5855227088 15.3795166267392
5666181 0.1825748138 15.4408807045785
5966898 0.0193348956 15.6194660134084
6408429 0.0305339136 15.8221782764614
6498676 0.0798561883 15.8458339917757
6929715 0.1789766503 16.4655202362466
6969776 2.0152002861 16.4924988837248
6999846 1.0902881063 16.5720458692754
7200475 0.6788705722 16.8523460845541
7491136 1.0100003111 17.6634071815158
7711546 2.1248833371 18.0464776561106
7751660 0.2300557089 18.0806648483181
7992150 0.2193045535 18.9971021067722
8353209 0.3687616172 19.8152672564353
8373250 1.0449356114 19.833994567358
8754325 0.4387352928 20.4882725012038
8774381 0.9238506171 20.4962176992587
8874786 0.8820468308 20.8569686187317
8995016 29.5154503213 21.4501280609313
9015062 1.1096581519 21.5272214557512
9466308 0.4372838996 22.5354325231558
10368596 4.9142009568 24.1892175189905
10428670 0.8492297039 24.2396728599272
10488757 1.0049986792 24.4696113071124
10599554 1.4043974506 24.6026471750653
10649660 0.2672126422 24.6954043962189
11010591 0.0070054916 25.3152609869948
11020591 0.6423636075 25.3242888777476
11090657 1.4660995961 25.3799235795482
11501589 0.2671901047 25.6135335034452
11551772 0.2539788607 25.6267897903486
11862641 0.250673586 25.7274163520548
11952979 0.252453028 25.7474910421694
12143626 0.511556455 25.915806814319
12534779 1.3514455988 26.6852747577043
12815775 1.11156755 27.0781839420482
12926043 3.6079659136 27.4413494693007
12956143 0.9872263998 27.7815635304521
13116758 4.8139204284 28.1366973762592
13457920 0.9870319715 28.4995611441129
13467920 0.0255510161 28.5810799603151
13548060 0.1867898735 28.9649341349112
13648407 0.1120670294 29.1808313632197
13768750 0.2086679709 29.3294999507566
14139828 0.8212798565 30.3093520450094
14179894 0.3997967017 30.3283212762834
14540712 5.4026764012 32.1250272495307
14550733 0.7580960676 32.160688144454
14610866 0.1590981587 32.2642212166087
14660972 0.7343230091 32.2987482926345
14671006 0.3808601845 32.3032831028271
14761175 0.5455267667 32.548441849699
15021707 0.1123659756 33.1277887250924
15212216 0.9697369617 33.5970278408123
15733251 0.0204694978 34.1985341159737
15843443 0.0161592709 34.215127775558
15883631 0.5204683973 34.2188816700497
16054048 12.9788510021 34.2755290314103
16314779 1.440790933 35.3582253707065
16445270 0.9645899569 35.659644863664
16896462 0.0278172796 36.2780065489183
17358346 0.0043385628 36.5956346733845
17779317 0.0227834737 37.2149661074465
17819394 0.2245525963 37.2374376805695
17889538 0.5596563038 37.3259475509576
18070074 0.5133910323 37.5610338465051
18601564 3.5784895136 38.2104836420722
18641667 1.6114314827 38.3892736921626
18681821 1.9685818308 38.5372706872866
19132998 37.0045769937 39.4984171046111
19594313 0.7756943667 40.3251024505417
20075536 0.5235774602 41.1721221796834
20245970 0.9011230915 41.5519680499532
20977812 0.1102339446 42.5419086156425
21007935 1.1947314017 42.5564670530594
21048031 0.2929366155 42.5760835689009
21248449 0.6003883001 42.7055325107229
21258474 0.4227219404 42.7069183642598
21408824 0.8255366207 42.7478232564893
21429046 0.3321835519 42.7807309416531
21721028 0.0017034252 43.3063498165679
21741050 0.1806428214 43.3088117419154
22162238 0.2758985221 43.9854995282558
22172259 4.4721585852 43.9937621895197
22442888 0.9265343018 44.3376704746215
22543147 0.9207055157 44.3811401166894
22643571 0.3094691634 44.4688972059852
22693678 0.1216815601 44.4848465827849
22864667 0.182064545 44.5759271996786
23034988 0.707474934 44.9890990730998
23185901 0.4194361082 45.4269304405942
23426815 3.397119132 45.6689625610853
23677576 3.20020602 46.4914630171007
23697649 0.871622236 46.5636671061166
24720396 2.7644119459 47.2091679241802
24800511 1.5349705931 47.4654131978002
24920900 0.0637854751 47.8430148785525
24970999 0.1079717585 47.8604885878279
25001219 0.690959295 47.8709640487277
25031246 0.5836950233 47.9588758776669
25723263 1.6233504276 49.2917556477725
25944009 24.6601798188 49.9976792993116
